method,stored_faces,mean_pixel_accuracy,mean_hamming_distance,mean_energy_change,mean_epochs_used
Baseline,2,100.0,0.0,-1777.065673828125,2.0
Baseline,6,76.116943359375,978.25,-3706.23095703125,3.75
Baseline,10,70.654296875,1202.0,-5304.7275390625,5.25
Baseline,15,71.636962890625,1161.75,-6940.1165771484375,6.0
Baseline,40,69.61669921875,1244.5,-17773.106689453125,6.0
Baseline,100,70.76416015625,1197.5,-44144.20068359375,6.0
Least similar,2,100.0,0.0,-1687.635009765625,2.0
Least similar,6,78.216552734375,892.25,-3038.240234375,2.75
Least similar,10,63.690185546875,1487.25,-5359.118896484375,3.25
Least similar,15,51.2451171875,1997.0,-8501.317626953125,6.0
Least similar,40,53.155517578125,1918.75,-21059.654541015625,6.5
Least similar,100,53.924560546875,1887.25,-48044.65576171875,7.25
