subject,stored_faces,neurons,pixel_accuracy,hamming_distance,initial_energy,final_energy,energy_change,epochs_used,pattern_load_ratio,capacity_percentage
1,2,4096,100.0,0,-519.03564453125,-2241.41455078125,-1722.37890625,2,0.00048828125,0.3487723214285714
1,6,4096,76.0986328125,979,-767.2880859375,-4786.22265625,-4018.9345703125,3,0.00146484375,1.0463169642857142
1,10,4096,59.1552734375,1673,-596.6796875,-6305.1279296875,-5708.4482421875,6,0.00244140625,1.7438616071428568
1,15,4096,72.8271484375,1113,-1058.16943359375,-6544.73046875,-5486.56103515625,8,0.003662109375,2.6157924107142856
1,40,4096,67.6025390625,1327,-2064.40673828125,-19040.23974609375,-16975.8330078125,6,0.009765625,6.975446428571427
1,100,4096,68.1884765625,1303,-4138.74755859375,-48122.88134765625,-43984.1337890625,7,0.0244140625,17.43861607142857
2,2,4096,100.0,0,-596.6220703125,-2210.126953125,-1613.5048828125,2,0.00048828125,0.3487723214285714
2,6,4096,62.98828125,1516,-762.90283203125,-4622.27587890625,-3859.373046875,5,0.00146484375,1.0463169642857142
2,10,4096,69.43359375,1252,-903.658203125,-6794.3017578125,-5890.6435546875,6,0.00244140625,1.7438616071428568
2,15,4096,59.814453125,1646,-1091.35107421875,-8142.939453125,-7051.58837890625,6,0.003662109375,2.6157924107142856
2,40,4096,65.6982421875,1405,-2052.9375,-19826.287109375,-17773.349609375,7,0.009765625,6.975446428571427
2,100,4096,67.3095703125,1339,-4455.0322265625,-46951.9951171875,-42496.962890625,6,0.0244140625,17.43861607142857
3,2,4096,100.0,0,-216.291015625,-2081.548828125,-1865.2578125,2,0.00048828125,0.3487723214285714
3,6,4096,81.201171875,770,-252.37060546875,-3881.04052734375,-3628.669921875,4,0.00146484375,1.0463169642857142
3,10,4096,79.9072265625,823,-289.16357421875,-4699.97412109375,-4410.810546875,5,0.00244140625,1.7438616071428568
3,15,4096,74.169921875,1058,-366.36328125,-8362.044921875,-7995.681640625,5,0.003662109375,2.6157924107142856
3,40,4096,65.9423828125,1395,-648.123046875,-18630.11328125,-17981.990234375,6,0.009765625,6.975446428571427
3,100,4096,68.0908203125,1307,-1171.34326171875,-49718.15087890625,-48546.8076171875,6,0.0244140625,17.43861607142857
4,2,4096,100.0,0,-219.18017578125,-2126.30126953125,-1907.12109375,2,0.00048828125,0.3487723214285714
4,6,4096,84.1796875,648,-361.748046875,-3679.6943359375,-3317.9462890625,3,0.00146484375,1.0463169642857142
4,10,4096,74.12109375,1060,-559.60986328125,-5768.61767578125,-5209.0078125,4,0.00244140625,1.7438616071428568
4,15,4096,79.736328125,830,-600.19091796875,-7826.826171875,-7226.63525390625,5,0.003662109375,2.6157924107142856
4,40,4096,79.2236328125,851,-1447.81591796875,-19809.06982421875,-18361.25390625,5,0.009765625,6.975446428571427
4,100,4096,79.4677734375,841,-3208.0732421875,-44756.9716796875,-41548.8984375,5,0.0244140625,17.43861607142857
