seed,learning_rule,subject,target_person_id,target_index,stored_faces,neurons,corruption_level,pixel_accuracy,hamming_distance,initial_energy,final_energy,energy_change,epochs_used,pattern_load_ratio,capacity_percentage
42,storkey,1,19,190,2,4096,0.5,100.0,0,-386.8457,-1853.7748,-1466.9291,2,0.00048828125,0.3487723214285714
42,storkey,1,19,190,6,4096,0.5,100.0,0,-337.9084,-1392.4059,-1054.4976,3,0.00146484375,1.0463169642857142
42,storkey,1,19,190,10,4096,0.5,100.0,0,-454.914,-1654.1146,-1199.2007,3,0.00244140625,1.7438616071428568
42,storkey,1,19,190,15,4096,0.5,99.853515625,6,-416.04633,-1346.7631,-930.71674,4,0.003662109375,2.6157924107142856
42,storkey,1,19,190,40,4096,0.5,64.990234375,1434,-423.30475,-1495.53,-1072.2253,7,0.009765625,6.975446428571427
42,storkey,1,19,190,100,4096,0.5,86.6455078125,547,-468.48444,-1048.5977,-580.1132,10,0.0244140625,17.43861607142857
42,storkey,2,16,160,2,4096,0.5,100.0,0,-594.8275,-1965.9998,-1371.1722,2,0.00048828125,0.3487723214285714
42,storkey,2,16,160,6,4096,0.5,100.0,0,-571.5079,-1478.7551,-907.24725,2,0.00146484375,1.0463169642857142
42,storkey,2,16,160,10,4096,0.5,99.8291015625,7,-542.43,-1237.7012,-695.2712,6,0.00244140625,1.7438616071428568
42,storkey,2,16,160,15,4096,0.5,99.4384765625,23,-609.416,-1254.5461,-645.1301,5,0.003662109375,2.6157924107142856
42,storkey,2,16,160,40,4096,0.5,97.55859375,100,-537.0288,-1119.1171,-582.08826,10,0.009765625,6.975446428571427
42,storkey,2,16,160,100,4096,0.5,80.4443359375,801,-545.35156,-1158.7311,-613.3795,10,0.0244140625,17.43861607142857
42,storkey,3,15,150,2,4096,0.5,100.0,0,-198.75198,-1989.2634,-1790.5115,2,0.00048828125,0.3487723214285714
42,storkey,3,15,150,6,4096,0.5,100.0,0,-214.60886,-1637.0679,-1422.459,3,0.00146484375,1.0463169642857142
42,storkey,3,15,150,10,4096,0.5,99.951171875,2,-203.75699,-1465.5457,-1261.7887,4,0.00244140625,1.7438616071428568
42,storkey,3,15,150,15,4096,0.5,57.0556640625,1759,-302.09106,-1286.3414,-984.25037,10,0.003662109375,2.6157924107142856
42,storkey,3,15,150,40,4096,0.5,52.1728515625,1959,-310.22388,-1584.1301,-1273.9062,8,0.009765625,6.975446428571427
42,storkey,3,15,150,100,4096,0.5,52.1728515625,1959,-323.01855,-1553.7699,-1230.7513,5,0.0244140625,17.43861607142857
42,storkey,4,26,260,2,4096,0.5,100.0,0,-159.76935,-1522.4176,-1362.6482,2,0.00048828125,0.3487723214285714
42,storkey,4,26,260,6,4096,0.5,100.0,0,-181.834,-1402.2402,-1220.4062,3,0.00146484375,1.0463169642857142
42,storkey,4,26,260,10,4096,0.5,67.4560546875,1333,-225.85783,-1424.491,-1198.6332,7,0.00244140625,1.7438616071428568
42,storkey,4,26,260,15,4096,0.5,85.44921875,596,-312.7721,-1238.957,-926.18494,6,0.003662109375,2.6157924107142856
42,storkey,4,26,260,40,4096,0.5,72.75390625,1116,-302.05905,-1163.0757,-861.0166,10,0.009765625,6.975446428571427
42,storkey,4,26,260,100,4096,0.5,77.6123046875,917,-267.74152,-1063.6578,-795.9163,10,0.0244140625,17.43861607142857
